ordernumber,quantityordered,priceeach,sales,orderdate,status,month_id,year_id,productline,customername,addressline1,city,state,country,territory,dealsize
10356,29,100.0,3630.22,2004-12-09,Shipped,12,2004,Vintage Cars,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,,France,EMEA,Medium
10367,27,100.0,4196.07,2005-01-12,Resolved,1,2005,Vintage Cars,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,CA,USA,NAM,Medium
10380,40,100.0,4931.6,2005-02-16,Shipped,2,2005,Vintage Cars,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,Spain,EMEA,Medium
10390,31,98.99,3068.69,2005-03-04,Shipped,3,2005,Vintage Cars,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,USA,NAM,Medium
10409,6,100.0,785.64,2005-04-23,Shipped,4,2005,Vintage Cars,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,,Singapore,APAC,Small
10420,45,100.0,4977.0,2005-05-29,In Process,5,2005,Vintage Cars,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,Australia,APAC,Medium
10103,22,54.09,1189.98,2003-01-29,Shipped,1,2003,Trucks and Buses,Baane Mini Imports,Erling Skakkes gate 78,Stavern,,Norway,EMEA,Small
10114,45,68.67,3090.15,2003-04-01,Shipped,4,2003,Trucks and Buses,"La Corne D'abondance, Co.","265, boulevard Charonne",Paris,,France,EMEA,Medium
10126,43,65.02,2795.86,2003-05-28,Shipped,5,2003,Trucks and Buses,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,,Spain,EMEA,Small
10140,46,61.99,2851.54,2003-07-24,Shipped,7,2003,Trucks and Buses,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,USA,NAM,Small
10151,39,69.28,2701.92,2003-09-21,Shipped,9,2003,Trucks and Buses,"Oulu Toy Supplies, Inc.",Torikatu 38,Oulu,,Finland,EMEA,Small
10165,31,71.1,2204.1,2003-10-22,Shipped,10,2003,Trucks and Buses,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,,Singapore,Japan,Small
10175,41,69.28,2840.48,2003-11-06,Shipped,11,2003,Trucks and Buses,"Stylish Desk Decors, Co.",35 King George,London,,UK,EMEA,Small
10184,44,60.16,2647.04,2003-11-14,Shipped,11,2003,Trucks and Buses,"Iberia Gift Imports, Corp.","C/ Romero, 33",Sevilla,,Spain,EMEA,Small
10194,45,70.49,3172.05,2003-11-25,Shipped,11,2003,Trucks and Buses,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,,France,EMEA,Medium
10207,37,69.89,2585.93,2003-12-09,Shipped,12,2003,Trucks and Buses,Diecast Collectables,6251 Ingle Ln.,Boston,MA,USA,NAM,Small
10217,35,61.38,2148.3,2004-02-04,Shipped,2,2004,Trucks and Buses,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,,Singapore,APAC,Small
10229,28,59.55,1667.4,2004-03-11,Shipped,3,2004,Trucks and Buses,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,USA,NAM,Small
10246,30,61.99,1859.7,2004-05-05,Shipped,5,2004,Trucks and Buses,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,Spain,EMEA,Small
10259,30,49.22,1476.6,2004-06-15,Shipped,6,2004,Trucks and Buses,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,,Singapore,APAC,Small
10271,25,69.28,1732.0,2004-07-20,Shipped,7,2004,Trucks and Buses,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,USA,NAM,Small
10281,29,57.73,1674.17,2004-08-19,Shipped,8,2004,Trucks and Buses,Diecast Classics Inc.,7586 Pompton St.,Allentown,PA,USA,NAM,Small
10291,26,57.73,1500.98,2004-09-08,Shipped,9,2004,Trucks and Buses,Scandinavian Gift Ideas,?kergatan 24,Boras,,Sweden,EMEA,Small
10305,41,53.48,2192.68,2004-10-13,Shipped,10,2004,Trucks and Buses,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,MA,USA,NAM,Small
10313,34,52.87,1797.58,2004-10-22,Shipped,10,2004,Trucks and Buses,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,BC,Canada,NAM,Small
10322,35,61.21,2142.35,2004-11-04,Shipped,11,2004,Trucks and Buses,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,NH,USA,NAM,Small
10347,50,100.0,6834.5,2004-11-29,Shipped,11,2004,Trucks and Buses,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,Australia,APAC,Medium
10357,41,61.99,2541.59,2004-12-10,Shipped,12,2004,Trucks and Buses,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,USA,NAM,Small
10370,22,96.86,2130.92,2005-01-20,Shipped,1,2005,Trucks and Buses,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,NSW,Australia,APAC,Small
10381,35,48.62,1701.7,2005-02-17,Shipped,2,2005,Trucks and Buses,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,USA,NAM,Small
10391,44,38.5,1694.0,2005-03-09,Shipped,3,2005,Trucks and Buses,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,NSW,Australia,APAC,Small
10412,47,61.99,2913.53,2005-05-03,Shipped,5,2005,Trucks and Buses,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,Spain,EMEA,Small
10425,19,49.22,935.18,2005-05-31,In Process,5,2005,Trucks and Buses,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,,France,EMEA,Small
10106,34,90.39,3073.26,2003-02-17,Shipped,2,2003,Planes,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,,Italy,EMEA,Medium
10120,29,71.81,2082.49,2003-04-29,Shipped,4,2003,Planes,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,Australia,APAC,Small
10133,49,69.27,3394.23,2003-06-27,Shipped,6,2003,Planes,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,Spain,EMEA,Medium
10145,30,85.32,2559.6,2003-08-25,Shipped,8,2003,Planes,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,CA,USA,NAM,Small
10168,21,70.96,1490.16,2003-10-28,Shipped,10,2003,Planes,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,USA,NAM,Small
10210,50,76.88,3844.0,2004-01-12,Shipped,1,2004,Planes,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,Japan,Japan,Medium
10223,47,100.0,4724.91,2004-02-20,Shipped,2,2004,Planes,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,Australia,APAC,Medium
10235,24,76.03,1824.72,2004-04-02,Shipped,4,2004,Planes,"Royal Canadian Collectables, Ltd.",23 Tsawassen Blvd.,Tsawassen,BC,Canada,NAM,Small
10250,27,98.84,2668.68,2004-05-11,Shipped,5,2004,Planes,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,CA,USA,NAM,Small
10263,33,86.17,2843.61,2004-06-28,Shipped,6,2004,Planes,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,CT,USA,NAM,Small
10275,35,90.39,3163.65,2004-07-23,Shipped,7,2004,Planes,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,,France,EMEA,Medium
10284,31,71.81,2226.11,2004-08-21,Shipped,8,2004,Planes,"Norway Gifts By Mail, Co.","Drammensveien 126 A, PB 744 Sentrum",Oslo,,Norway,EMEA,Small
10297,25,82.79,2069.75,2004-09-16,Shipped,9,2004,Planes,"Clover Collections, Co.",25 Maiden Lane,Dublin,,Ireland,EMEA,Small
10308,27,82.79,2235.33,2004-10-15,Shipped,10,2004,Planes,Mini Classics,3758 North Pendale Street,White Plains,NY,USA,NAM,Small
10318,31,100.0,3116.43,2004-11-02,Shipped,11,2004,Planes,Diecast Classics Inc.,7586 Pompton St.,Allentown,PA,USA,NAM,Medium
10327,45,100.0,4781.7,2004-11-10,Resolved,11,2004,Planes,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,,Denmark,EMEA,Medium
10339,27,100.0,2810.7,2004-11-23,Shipped,11,2004,Planes,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Tokyo,Japan,Japan,Small
10353,27,100.0,3515.67,2004-12-04,Shipped,12,2004,Planes,Gift Ideas Corp.,2440 Pompton St.,Glendale,CT,USA,NAM,Medium
10374,42,69.27,2909.34,2005-02-02,Shipped,2,2005,Planes,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Queensland,Australia,APAC,Small
10386,21,74.77,1570.17,2005-03-01,Resolved,3,2005,Planes,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,Spain,EMEA,Small
10398,34,76.88,2613.92,2005-03-30,Shipped,3,2005,Planes,Reims Collectables,59 rue de l'Abbaye,Reims,,France,EMEA,Small
10416,15,98.84,1482.6,2005-05-10,Shipped,5,2005,Planes,L'ordine Souveniers,Strada Provinciale 124,Reggio Emilia,,Italy,EMEA,Small
10107,29,70.87,2055.23,2003-02-24,Shipped,2,2003,Motorcycles,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,USA,NAM,Small
10120,46,58.15,2674.9,2003-04-29,Shipped,4,2003,Motorcycles,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,Australia,APAC,Small
10134,30,61.78,1853.4,2003-07-01,Shipped,7,2003,Motorcycles,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,,France,EMEA,Small
10145,30,49.67,1490.1,2003-08-25,Shipped,8,2003,Motorcycles,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,CA,USA,NAM,Small
10159,42,51.48,2162.16,2003-10-10,Shipped,10,2003,Motorcycles,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,USA,NAM,Small
10168,46,61.18,2814.28,2003-10-28,Shipped,10,2003,Motorcycles,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,USA,NAM,Small
10180,25,64.2,1605.0,2003-11-11,Shipped,11,2003,Motorcycles,Daedalus Designs Imports,"184, chausse de Tournai",Lille,,France,EMEA,Small
10188,32,65.42,2093.44,2003-11-18,Shipped,11,2003,Motorcycles,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,,Norway,EMEA,Small
10201,30,64.81,1944.3,2003-12-01,Shipped,12,2003,Motorcycles,Mini Wheels Co.,5557 North Pendale Street,San Francisco,CA,USA,NAM,Small
10210,40,49.67,1986.8,2004-01-12,Shipped,1,2004,Motorcycles,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,Japan,Japan,Small
10223,28,60.57,1695.96,2004-02-20,Shipped,2,2004,Motorcycles,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,Australia,APAC,Small
10236,23,55.72,1281.56,2004-04-03,Shipped,4,2004,Motorcycles,Motor Mint Distributors Inc.,11328 Douglas Av.,Philadelphia,PA,USA,NAM,Small
10251,29,61.18,1774.22,2004-05-18,Shipped,5,2004,Motorcycles,Tekni Collectables Inc.,7476 Moss Rd.,Newark,NJ,USA,NAM,Small
10263,34,58.75,1997.5,2004-06-28,Shipped,6,2004,Motorcycles,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,CT,USA,NAM,Small
10275,37,63.6,2353.2,2004-07-23,Shipped,7,2004,Motorcycles,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,,France,EMEA,Small
10285,20,49.06,981.2,2004-08-27,Shipped,8,2004,Motorcycles,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,MA,USA,NAM,Small
10298,32,48.46,1550.72,2004-09-27,Shipped,9,2004,Motorcycles,Atelier graphique,"54, rue Royale",Nantes,,France,EMEA,Small
10308,34,52.09,1771.06,2004-10-15,Shipped,10,2004,Motorcycles,Mini Classics,3758 North Pendale Street,White Plains,NY,USA,NAM,Small
10318,42,52.7,2213.4,2004-11-02,Shipped,11,2004,Motorcycles,Diecast Classics Inc.,7586 Pompton St.,Allentown,PA,USA,NAM,Small
10329,38,100.0,5266.04,2004-11-15,Shipped,11,2004,Motorcycles,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,USA,NAM,Medium
10339,30,62.16,1864.8,2004-11-23,Shipped,11,2004,Motorcycles,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Tokyo,Japan,Japan,Small
10362,23,49.67,1142.41,2005-01-05,Shipped,1,2005,Motorcycles,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,USA,NAM,Small
10374,22,53.3,1172.6,2005-02-02,Shipped,2,2005,Motorcycles,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Queensland,Australia,APAC,Small
10389,39,100.0,6981.0,2005-03-03,Shipped,3,2005,Motorcycles,Scandinavian Gift Ideas,?kergatan 24,Boras,,Sweden,EMEA,Medium
10402,55,55.72,3064.6,2005-04-07,Shipped,4,2005,Motorcycles,Auto Canal Petit,"25, rue Lauriston",Paris,,France,EMEA,Medium
10417,36,61.18,2202.48,2005-05-13,Disputed,5,2005,Motorcycles,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,Spain,EMEA,Small
10101,26,100.0,3773.38,2003-01-09,Shipped,1,2003,Vintage Cars,"Blauer See Auto, Co.",Lyonerstr. 34,Frankfurt,,Germany,EMEA,Medium
10110,31,100.0,5074.39,2003-03-18,Shipped,3,2003,Vintage Cars,"AV Stores, Co.",Fauntleroy Circus,Manchester,,UK,EMEA,Medium
10125,34,100.0,6483.46,2003-05-21,Shipped,5,2003,Vintage Cars,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,Australia,APAC,Medium
10139,41,100.0,7956.46,2003-07-16,Shipped,7,2003,Vintage Cars,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,Australia,APAC,Large
10149,23,100.0,4230.62,2003-09-12,Shipped,9,2003,Vintage Cars,Signal Collectibles Ltd.,2793 Furth Circle,Brisbane,CA,USA,NAM,Medium
10162,48,100.0,7209.12,2003-10-18,Shipped,10,2003,Vintage Cars,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,USA,NAM,Large
10173,22,100.0,3452.68,2003-11-05,Shipped,11,2003,Vintage Cars,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,,Italy,EMEA,Medium
10182,21,100.0,3047.73,2003-11-12,Shipped,11,2003,Vintage Cars,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,USA,NAM,Medium
10193,22,100.0,3675.32,2003-11-21,Shipped,11,2003,Vintage Cars,"Australian Collectables, Ltd",7 Allen Street,Glen Waverly,Victoria,Australia,APAC,Medium
10205,40,100.0,7492.4,2003-12-03,Shipped,12,2003,Vintage Cars,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,Spain,EMEA,Large
10214,50,100.0,9534.5,2004-01-26,Shipped,1,2004,Vintage Cars,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,,Spain,EMEA,Large
10227,29,100.0,5579.02,2004-03-02,Shipped,3,2004,Vintage Cars,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,,France,EMEA,Medium
10244,43,100.0,5950.34,2004-04-29,Shipped,4,2004,Vintage Cars,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,Spain,EMEA,Medium
10255,24,100.0,3726.0,2004-06-04,Shipped,6,2004,Vintage Cars,Mini Caravy,"24, place Kluber",Strasbourg,,France,EMEA,Medium
10280,22,100.0,4455.0,2004-08-17,Shipped,8,2004,Vintage Cars,Amica Models & Co.,Via Monte Bianco 34,Torino,,Italy,EMEA,Medium
10289,43,100.0,8272.34,2004-09-03,Shipped,9,2004,Vintage Cars,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,,Norway,EMEA,Large
10304,20,100.0,3577.6,2004-10-11,Shipped,10,2004,Vintage Cars,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,,France,EMEA,Medium
10312,25,100.0,3881.25,2004-10-21,Shipped,10,2004,Vintage Cars,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,USA,NAM,Medium
10322,36,100.0,5797.44,2004-11-04,Shipped,11,2004,Vintage Cars,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,NH,USA,NAM,Medium
10332,24,52.67,1264.08,2004-11-17,Shipped,11,2004,Vintage Cars,"AV Stores, Co.",Fauntleroy Circus,Manchester,,UK,EMEA,Small
10347,21,100.0,4815.3,2004-11-29,Shipped,11,2004,Vintage Cars,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,Australia,APAC,Medium
10356,30,100.0,4462.2,2004-12-09,Shipped,12,2004,Vintage Cars,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,,France,EMEA,Medium
10367,32,94.79,3033.28,2005-01-12,Resolved,1,2005,Vintage Cars,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,CA,USA,NAM,Medium
10380,21,47.18,990.78,2005-02-16,Shipped,2,2005,Vintage Cars,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,Spain,EMEA,Small
10390,26,78.11,2030.86,2005-03-04,Shipped,3,2005,Vintage Cars,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,USA,NAM,Small
10421,35,100.0,5433.75,2005-05-29,In Process,5,2005,Vintage Cars,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,USA,NAM,Medium
10109,26,100.0,3157.44,2003-03-10,Shipped,3,2003,Classic Cars,Motor Mint Distributors Inc.,11328 Douglas Av.,Philadelphia,PA,USA,NAM,Medium
10123,46,100.0,5161.2,2003-05-20,Shipped,5,2003,Classic Cars,Atelier graphique,"54, rue Royale",Nantes,,France,EMEA,Medium
10137,37,100.0,4346.76,2003-07-10,Shipped,7,2003,Classic Cars,Reims Collectables,59 rue de l'Abbaye,Reims,,France,EMEA,Medium
10148,27,100.0,3528.36,2003-09-11,Shipped,9,2003,Classic Cars,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,NSW,Australia,APAC,Medium
10161,23,100.0,3187.8,2003-10-17,Shipped,10,2003,Classic Cars,Heintze Collectables,Smagsloget 45,Aaarhus,,Denmark,EMEA,Medium
10172,39,100.0,6023.16,2003-11-05,Shipped,11,2003,Classic Cars,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,CT,USA,NAM,Medium
10181,27,100.0,3884.76,2003-11-12,Shipped,11,2003,Classic Cars,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,,Norway,EMEA,Medium
10192,38,100.0,4965.84,2003-11-20,Shipped,11,2003,Classic Cars,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,NH,USA,NAM,Medium
10204,27,100.0,4169.88,2003-12-02,Shipped,12,2003,Classic Cars,Muscle Machine Inc,4092 Furth Circle,NYC,NY,USA,NAM,Medium
10212,40,100.0,4910.4,2004-01-16,Shipped,1,2004,Classic Cars,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,Spain,EMEA,Medium
10226,24,100.0,3231.36,2004-02-26,Shipped,2,2004,Classic Cars,Collectable Mini Designs Co.,361 Furth Circle,San Diego,CA,USA,NAM,Medium
10241,44,100.0,6853.44,2004-04-13,Shipped,4,2004,Classic Cars,Mini Caravy,"24, place Kluber",Strasbourg,,France,EMEA,Medium
10266,20,100.0,2824.8,2004-07-06,Shipped,7,2004,Classic Cars,L'ordine Souveniers,Strada Provinciale 124,Reggio Emilia,,Italy,EMEA,Small
10278,39,100.0,4324.32,2004-08-06,Shipped,8,2004,Classic Cars,Signal Gift Stores,8489 Strong St.,Las Vegas,NV,USA,NAM,Medium
10287,44,100.0,5052.96,2004-08-30,Shipped,8,2004,Classic Cars,"Vida Sport, Ltd",Grenzacherweg 237,Gensve,,Switzerland,EMEA,Medium
10301,22,100.0,3223.44,2003-10-05,Shipped,10,2003,Classic Cars,"Norway Gifts By Mail, Co.","Drammensveien 126 A, PB 744 Sentrum",Oslo,,Norway,EMEA,Medium
10311,43,100.0,5278.68,2004-10-16,Shipped,10,2004,Classic Cars,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,Spain,EMEA,Medium
10321,27,100.0,2851.2,2004-11-04,Shipped,11,2004,Classic Cars,FunGiftIdeas.com,1785 First Street,New Bedford,MA,USA,NAM,Small
10331,26,64.9,1687.4,2004-11-17,Shipped,11,2004,Classic Cars,Motor Mint Distributors Inc.,11328 Douglas Av.,Philadelphia,PA,USA,NAM,Small
10343,25,52.32,1308.0,2004-11-24,Shipped,11,2004,Classic Cars,Reims Collectables,59 rue de l'Abbaye,Reims,,France,EMEA,Small
10366,49,100.0,6144.6,2005-01-10,Shipped,1,2005,Classic Cars,Royale Belge,"Boulevard Tirou, 255",Charleroi,,Belgium,EMEA,Medium
10379,29,100.0,5127.2,2005-02-10,Shipped,2,2005,Classic Cars,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,Spain,EMEA,Medium
10419,55,100.0,7695.6,2005-05-17,Shipped,5,2005,Classic Cars,Salzburg Collectables,Geislweg 14,Salzburg,,Austria,EMEA,Large
10103,27,83.07,2242.89,2003-01-29,Shipped,1,2003,Vintage Cars,Baane Mini Imports,Erling Skakkes gate 78,Stavern,,Norway,EMEA,Small
10112,23,100.0,2539.89,2003-03-24,Shipped,3,2003,Vintage Cars,"Volvo Model Replicas, Co",Berguvsvgen  8,Lule,,Sweden,EMEA,Small
10126,31,90.17,2795.27,2003-05-28,Shipped,5,2003,Vintage Cars,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,,Spain,EMEA,Small
10139,46,100.0,5545.76,2003-07-16,Shipped,7,2003,Vintage Cars,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,Australia,APAC,Medium
10150,47,91.18,4285.46,2003-09-19,Shipped,9,2003,Vintage Cars,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,,Singapore,Japan,Medium
10163,31,100.0,3329.09,2003-10-20,Shipped,10,2003,Vintage Cars,Classic Legends Inc.,5905 Pompton St.,NYC,NY,USA,NAM,Medium
10174,46,100.0,5592.22,2003-11-06,Shipped,11,2003,Vintage Cars,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Queensland,Australia,APAC,Medium
10183,37,89.15,3298.55,2003-11-13,Shipped,11,2003,Vintage Cars,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,PA,USA,NAM,Medium
10193,28,93.21,2609.88,2003-11-21,Shipped,11,2003,Vintage Cars,"Australian Collectables, Ltd",7 Allen Street,Glen Waverly,Victoria,Australia,APAC,Small
10206,37,90.17,3336.29,2003-12-05,Shipped,12,2003,Vintage Cars,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,BC,Canada,NAM,Medium
10215,49,100.0,5510.05,2004-01-29,Shipped,1,2004,Vintage Cars,West Coast Collectables Co.,3675 Furth Circle,Burbank,CA,USA,NAM,Medium
10228,24,100.0,2504.4,2004-03-10,Shipped,3,2004,Vintage Cars,Cambridge Collectables Co.,4658 Baden Av.,Cambridge,MA,USA,NAM,Small
10244,30,100.0,3525.6,2004-04-29,Shipped,4,2004,Vintage Cars,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,Spain,EMEA,Medium
10257,50,88.14,4407.0,2004-06-14,Shipped,6,2004,Vintage Cars,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,CA,USA,NAM,Medium
10270,31,96.24,2983.44,2004-07-19,Shipped,7,2004,Vintage Cars,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,Australia,APAC,Small
10280,46,100.0,5126.24,2004-08-17,Shipped,8,2004,Vintage Cars,Amica Models & Co.,Via Monte Bianco 34,Torino,,Italy,EMEA,Medium
10291,47,100.0,5713.79,2004-09-08,Shipped,9,2004,Vintage Cars,Scandinavian Gift Ideas,?kergatan 24,Boras,,Sweden,EMEA,Medium
10304,46,100.0,4613.8,2004-10-11,Shipped,10,2004,Vintage Cars,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,,France,EMEA,Medium
10312,37,100.0,3711.1,2004-10-21,Shipped,10,2004,Vintage Cars,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,USA,NAM,Medium
10322,33,100.0,3524.73,2004-11-04,Shipped,11,2004,Vintage Cars,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,NH,USA,NAM,Medium
10333,31,90.17,2795.27,2004-11-18,Shipped,11,2004,Vintage Cars,Mini Wheels Co.,5557 North Pendale Street,San Francisco,CA,USA,NAM,Small
10347,48,100.0,4814.4,2004-11-29,Shipped,11,2004,Vintage Cars,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,Australia,APAC,Medium
10357,41,87.13,3572.33,2004-12-10,Shipped,12,2004,Vintage Cars,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,USA,NAM,Medium
10369,42,100.0,4581.36,2005-01-20,Shipped,1,2005,Vintage Cars,Collectables For Less Inc.,7825 Douglas Av.,Brickhaven,MA,USA,NAM,Medium
10381,41,100.0,4319.76,2005-02-17,Shipped,2,2005,Vintage Cars,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,USA,NAM,Medium
10391,32,45.25,1448.0,2005-03-09,Shipped,3,2005,Vintage Cars,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,NSW,Australia,APAC,Small
10423,10,88.14,881.4,2005-05-30,In Process,5,2005,Vintage Cars,Petit Auto,Rue Joseph-Bens 532,Bruxelles,,Belgium,EMEA,Small
10103,35,57.46,2011.1,2003-01-29,Shipped,1,2003,Vintage Cars,Baane Mini Imports,Erling Skakkes gate 78,Stavern,,Norway,EMEA,Small
10111,28,64.33,1801.24,2003-03-25,Shipped,3,2003,Vintage Cars,Mini Wheels Co.,5557 North Pendale Street,San Francisco,CA,USA,NAM,Small
10126,46,73.7,3390.2,2003-05-28,Shipped,5,2003,Vintage Cars,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,,Spain,EMEA,Medium
10139,20,71.2,1424.0,2003-07-16,Shipped,7,2003,Vintage Cars,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,Australia,APAC,Small
10150,30,49.97,1499.1,2003-09-19,Shipped,9,2003,Vintage Cars,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,,Singapore,Japan,Small
10163,48,69.96,3358.08,2003-10-20,Shipped,10,2003,Vintage Cars,Classic Legends Inc.,5905 Pompton St.,NYC,NY,USA,NAM,Medium
10173,28,53.72,1504.16,2003-11-05,Shipped,11,2003,Vintage Cars,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,,Italy,EMEA,Small
10183,39,68.08,2655.12,2003-11-13,Shipped,11,2003,Vintage Cars,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,PA,USA,NAM,Small
10193,24,51.84,1244.16,2003-11-21,Shipped,11,2003,Vintage Cars,"Australian Collectables, Ltd",7 Allen Street,Glen Waverly,Victoria,Australia,APAC,Small
10206,28,67.46,1888.88,2003-12-05,Shipped,12,2003,Vintage Cars,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,BC,Canada,NAM,Small
10215,31,58.71,1820.01,2004-01-29,Shipped,1,2004,Vintage Cars,West Coast Collectables Co.,3675 Furth Circle,Burbank,CA,USA,NAM,Small
